item;word;place;exp;freq_count;freq_standardized;freq_percentage
1;şarkıcı;n1;lago;86971;-0.512591016;0.002566713
1;vokalist;n2;lago;9998;-0.572736131;0.000295064
2;öğrenci;n1;lago;2665917;1.502544209;0.078677315
2;danışman;n2;lago;332862;-0.320456859;0.00982352
3;ressam;n1;lago;91171;-0.509309222;0.002690665
3;rakip;n2;lago;335814;-0.318150227;0.00991064
4;subay;n1;lago;194594;-0.428496623;0.005742914
4;düşman;n2;lago;662162;-0.063148629;0.019541917
5;müzisyen;n1;lago;89680;-0.510474259;0.002646662
5;hayran;n2;lago;277525;-0.363696049;0.008190398
6;borsacı;n1;lago;4209;-0.577259536;0.000124217
6;çalışan;n2;lago;1565535;0.642728405;0.046202522
7;profesör;n1;lago;146074;-0.46640915;0.004310978
7;sekreter;n2;lago;304228;-0.342830876;0.008978465
8;veteriner;n1;lago;85502;-0.513738862;0.00252336
8;asistan;n2;lago;58303;-0.5349916;0.001720655
9;yönetmen;n1;lago;362747;-0.297105336;0.010705495
9;masör;n2;lago;4518;-0.57701809;0.000133337
10;teknisyen;n1;lago;43675;-0.546421617;0.001288949
10;eğitmen;n2;lago;67433;-0.527857606;0.001990102
11;turist;n1;lago;302807;-0.343941216;0.008936528
11;rehber;n2;lago;273185;-0.367087236;0.008062315
12;zanlı;n1;lago;104858;-0.498614483;0.0030946
12;şahid;n2;lago;26396;-0.559923071;0.000779006
13;bursiyer;n1;lago;3477;-0.577831505;0.000102614
13;kefil;n2;lago;22390;-0.563053277;0.00066078
14;futbolcu;n1;lago;608681;-0.10493758;0.01796357
14;kaptan;n2;lago;169379;-0.448199104;0.004998762
15;yazar;n1;lago;1449874;0.552353284;0.042789101
15;editör;n2;lago;116506;-0.489512976;0.003438359
16;asker;n1;lago;1844993;0.861091123;0.054449968
16;berber;n2;lago;42650;-0.547222531;0.001258699
17;yarışmacı;n1;lago;45729;-0.544816664;0.001349567
17;koç;n2;lago;401375;-0.266922213;0.011845495
18;sporcu;n1;lago;292610;-0.351908941;0.008635591
18;antrenör;n2;lago;142647;-0.469086937;0.00420984
19;berber;n2;lago;42650;-0.547222531;0.001258699
19;çırak;n2;lago;39569;-0.549629961;0.001167772
20;muhabir;n1;lago;151363;-0.462276435;0.004467069
20;patron;n2;lago;180816;-0.439262468;0.005336294
21;oyuncu;n1;lago;1422509;0.530970838;0.041981498
21;dublör;n2;lago;3739;-0.577626784;0.000110346
22;sunucu;n1;lago;210421;-0.416129731;0.006210005
22;kuaför;n2;lago;38829;-0.550208182;0.001145933
23;garson;n1;lago;40411;-0.548972039;0.001192621
23;şef;n2;lago;371174;-0.290520652;0.010954195
24;noter;n1;lago;48372;-0.542751478;0.001427568
24;şoför;n2;lago;119382;-0.487265729;0.003523236
25;tenisçi;n1;lago;13733;-0.569817679;0.000405292
25;terapist;n2;lago;36857;-0.551749062;0.001087734
26;manken;n1;lago;53317;-0.538887557;0.001573507
26;menajer;n2;lago;56589;-0.536330884;0.001670071
27;hasta;n1;lago;3928332;2.488969258;0.115934072
27;cerrah;n2;lago;234640;-0.397205504;0.006924764
28;mimar;n1;lago;522934;-0.171938517;0.01543298
28;eleman;n2;lago;339761;-0.315066122;0.010027125
29;izci;n1;lago;141412;-0.470051941;0.004173392
29;lider;n2;lago;971100;0.178249154;0.028659384
30;diplomat;n1;lago;108551;-0.495728849;0.003203589
30;misafir;n2;lago;349031;-0.307822735;0.010300704
31;spiker;n1;lago;26050;-0.560193429;0.000768795
31;makyöz;n2;lago;1653;-0.579256741;4.87838E-05
